thesis_registry_id,thesis_zdd_index,facts_count,permitted_cases_count,mean_vector_length,stdev_vector_length,thesis_decision_space_model_size,model_size_deviation_from_mean,model_size_abs_deviation_from_mean,model_size_zscore
270912,95,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
271415,96,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
271534,97,4,6,1.5,1.048809,9,-257.453947,257.453947,-0.651635
271536,98,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
271673,99,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
271674,100,8,70,3.157143,1.303682,221,-45.453947,45.453947,-0.115047
271675,101,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
272051,102,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
272139,103,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
272536,104,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
273071,105,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
273127,106,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
339015,107,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
340211,108,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
341704,109,6,38,2.868421,1.378818,109,-157.453947,157.453947,-0.398527
343163,110,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
343922,111,8,70,3.157143,1.303682,221,-45.453947,45.453947,-0.115047
345885,112,7,83,3.518072,1.391275,292,25.546053,25.546053,0.064659
347316,113,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
347475,114,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
347751,115,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
348113,116,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
348467,117,8,62,3.209677,1.494658,199,-67.453947,67.453947,-0.170731
348821,118,7,83,3.518072,1.391275,292,25.546053,25.546053,0.064659
348860,119,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
349370,120,8,70,3.157143,1.303682,221,-45.453947,45.453947,-0.115047
349788,121,4,5,1.8,0.83666,9,-257.453947,257.453947,-0.651635
351465,122,7,35,3.142857,1.611409,110,-156.453947,156.453947,-0.395996
351663,123,10,261,5.019157,1.662834,1310,1043.546053,1043.546053,2.641291
352533,124,7,83,3.518072,1.391275,292,25.546053,25.546053,0.064659
